Title;Brand;Kategorie;ml;Preis;Preis pro 100 ml
Mon Amour Woman;Rainbow;Eau de Toilette;50;5.9;11.8
Hot Light Women;Rainbow;Eau de Toilette;50;5.9;11.8
Orange;Hugo Boss;Eau de Toilette;50;44.9;89.8
Be Delicate Women;Blue Up;Eau de Parfum;100;9.9;9.9
All About Eve Femme;JOOP!;Eau de Parfum;40;29.9;74.75
Sport for Women;Jil Sander;Eau de Toilette;50;34.9;69.8
Be Delicious;DKNY;Eau de Parfum;50;39.9;79.8
Blue Secret Femme;Blue Up;Eau de Parfum;100;9.9;9.9
L'Ange Bleu Women;Blue Up;Eau de Parfum;100;9.9;9.9
I Love It Femme;Blue Up;Eau de Parfum;100;9.9;9.9
Mountain Flower Femme;Blue Up;Eau de Parfum;100;9.9;9.9
Pamir Femme;Blue Up;Eau de Parfum;100;9.9;9.9
Bright Crystal;Versace;Eau de Toilette;30;39.9;132.99999999999997
