Lacoste Pour Femme ;Lacoste;Eau de Parfum;50 ;49.9
Burberry For Women ;Burberry;Eau de Parfum;50 ;34.9
Dolce & Gabbana Light Blue ;Dolce & Gabbana;Eau de Toilette;50 ;49.9
Kenzo Flower By Kenzo ;Kenzo;Eau de Parfum;30 ;34.9
Nina Ricci L'air du temps ;Nina Ricci;Eau de Toilette;50 ;39.9
Laura Biagiotti Laura ;Laura Biagiotti;Eau de Toilette;75 ;39.9
Giorgio Armani Acqua di Gioia ;Giorgio;Eau de Parfum;30 ;39.9
Dior J'adore ;Dior;Eau de Toilette;50 ;64.9
Chopard Wish ;Chopard;Eau de Parfum;75 ;39.9
Paco Rabanne Lady Million ;Paco Rabanne;Eau de Parfum;50 ;54.9
Guess Seductive ;Guess;Eau de Toilette;75 ;34.9
Bulgari Omnia Crystalline ;Bulgari;Eau de Toilette;40 ;35.9
Prada Amber ;Prada;Eau de Parfum;50 ;69.9
Narciso Rodriguez Rouge ;Narciso Rodriguez;Eau de Parfum;50 ;69.9
Gucci Bloom Acqua di Fiori ;Gucci;Eau de Toilette;50 ;69.9
Versace Bright Crystal Absolu ;Versace;Eau de Parfum;90 ;59.9
Jil Sander No. 4  ;Jil Sander;Eau de Parfum;100 ;49.9
Chloé Nomade ;Chloé;Eau de Parfum;50 ;64.9
Dior J'adore  ;Dior;Eau de Toilette;100 ;99
Elizabeth Arden Red Door Shimmer Femme  ;Arden;Eau de Parfum;100 ;29.9
Lanvin Arpège  ;Lanvin;Eau de Parfum;100 ;34.9
Estée Lauder Pleasures Femme ;Estée Lauder;Eau de Parfum;30 ;34.9
Hugo Boss Femme ;Hugo Boss;Eau de Parfum;75 ;42.9
Dior J'adore in Joy  ;Dior;Eau de Toilette;100 ;99
Estée Lauder Youth-Dew ;Estée Lauder;Eau de Parfum;67 ;34.9
Juicy Couture Viva La Juicy  ;Juicy Couture;Eau de Parfum;100 ;49.9
Chloé Love Story Eau Sensuelle ;Chloé;Eau de Parfum;30 ;49.9
Kenzo Flower Eau Florale ;Kenzo;Eau de Toilette;50 ;39.9
Clinique Aromatics in Black ;Clinique;Eau de Parfum;30 ;34.9
Tiffany & Co. Tiffany ;Tiffany;Eau de Parfum;50 ;64.9
Burberry Brit For Woman ;Burberry;Eau de Parfum;50 ;34.9
Guerlain La Petite Robe Noire Ma Robe Cocktail  ;Guerlain;Eau de Toilette;100 ;54.9
Burberry My Burberry Black ;Burberry;Eau de Parfum;30 ;39.9
Lancôme Trésor Lumineuse ;Lancôme;Eau de Parfum;50 ;59.9
Elizabeth Arden Beauty Femme ;Arden;Eau de Parfum;30 ;19.9
Estée Lauder Modern Muse Chic ;Estée Lauder;Eau de Parfum;50 ;54.9
Estée Lauder Modern Muse  ;Estée Lauder;Eau de Parfum;100 ;64.9
Estée Lauder Modern Muse Chic  ;Estée Lauder;Eau de Parfum;100 ;64.9
Naomi Campbell ;Naomi Campbell;Eau de Toilette;50 ;32.9
Hugo Boss Ma Vie Pour Femme ;Hugo Boss;Eau de Parfum;50 ;49.9
Yves Saint Laurent Black Opium ;Yves Saint Laurent;Eau de Parfum;30 ;59.9
Bulgari Omnia Coral ;Bulgari;Eau de Toilette;40 ;42.9
Jean Paul Gaultier Classique Femme ;Gaultier;Eau de Toilette;50 ;59.9
Calvin Klein Euphoria ;Calvin Klein;Eau de Parfum;50 ;35.9
Laura Biagiotti Roma ;Laura Biagiotti;Eau de Toilette;50 ;39.9
Thierry Mugler Angel ;Thierry Mugler;Eau de Parfum;25 ;59.9
Versace Crystal Noir ;Versace;Eau de Toilette;50 ;54.9
Nina Ricci Nina ;Nina Ricci;Eau de Toilette;30 ;32.9
